year_month,PM2.5,PM10,SO2,NO2,CO,O3
2013-03-01,106.77016129032258,126.96370967741936,45.27693548387097,76.71226075268817,1496.1565860215053,58.762818548387095
2013-04-01,57.35,96.97083333333333,23.35085333333333,54.10156611111111,933.1770833333334,62.784066249999995
2013-05-01,77.24731182795699,129.34408602150538,28.301747311827956,59.244623655913976,1129.1471774193549,83.51752634408602
2013-06-01,108.32013888888889,107.38958333333333,17.54670666666667,52.95439020833333,1513.4097222222222,78.71124861111112
2013-07-01,75.43548387096774,70.95900537634408,8.965916129032259,40.84416196236559,1148.967741935484,82.96639220430107
2013-08-01,68.15456989247312,74.57997311827957,6.110215053763441,49.332021370967745,1027.5537634408602,76.9674494623656
2013-09-01,82.11805555555556,99.14791666666666,14.095594444444444,69.67407805555555,1286.3097222222223,46.84359277777778
2013-10-01,96.91532258064517,111.10483870967742,19.834358064516127,65.91687688172043,1285.215053763441,25.651621639784945
2013-11-01,83.35138888888889,105.48819444444445,24.135904444444446,60.76950423611111,1368.5416666666667,22.242224166666666
2013-12-01,87.91196236559139,115.21102150537635,44.36614301075269,65.6140753360215,1757.1908602150538,21.234345161290324
2014-01-01,106.12567204301075,136.2641129032258,60.62163978494624,67.33870967741936,1945.9005376344087,20.94489247311828
2014-02-01,156.47395833333334,167.16741071428572,65.75595238095238,68.125,2217.0386904761904,25.99032738095238
2014-03-01,100.23588709677419,139.53360215053763,39.14784946236559,68.32594086021506,1488.4408602150538,46.33467741935484
2014-04-01,86.75486111111111,142.30555555555554,19.649305555555557,60.87430555555556,972.1527777777778,71.2375
2014-05-01,68.09811827956989,132.48185483870967,17.23481182795699,55.729301075268815,830.3763440860215,96.3024193548387
2014-06-01,56.84166666666667,86.58958333333334,8.417361111111111,48.294444444444444,886.6666666666666,105.78680555555556
2014-07-01,84.35053763440861,111.67782258064517,8.088172043010752,44.563709677419354,1051.5456989247311,106.81559139784946
2014-08-01,60.74327956989247,87.79677419354839,6.463172043010753,48.31989247311828,955.1075268817204,100.41196236559139
2014-09-01,63.97138888888889,94.54152777777777,8.915972222222223,57.55083333333333,1168.5416666666667,56.05013888888889
2014-10-01,136.997311827957,169.0866935483871,10.366935483870968,84.02486559139786,1425.9408602150538,26.16532258064516
2014-11-01,110.75625,145.56694444444443,20.26138888888889,79.54888888888888,1672.1527777777778,23.535416666666666
2014-12-01,77.26545698924731,116.25537634408602,36.18817204301075,65.3366935483871,1689.986559139785,29.246639784946236
2015-01-01,108.11438172043012,131.28494623655914,42.54865591397849,76.9236559139785,2005.510752688172,24.97016129032258
2015-02-01,101.24479166666667,124.57514880952381,32.30654761904762,58.90327380952381,1477.827380952381,41.90252976190476
2015-03-01,95.4600806451613,141.0684811827957,24.45315860215054,63.532594086021504,1246.4381720430108,49.48756720430107
2015-04-01,79.09305555555555,114.9061111111111,11.521527777777777,53.47638888888889,839.0277777777778,76.37361111111112
2015-05-01,59.153225806451616,98.6263440860215,9.899193548387096,45.51881720430107,918.4811827956989,97.05913978494624
2015-06-01,64.0,82.83513888888889,8.176388888888889,43.58888888888889,1213.3333333333333,98.99583333333334
2015-07-01,56.71370967741935,75.32661290322581,5.719086021505376,41.18279569892473,914.247311827957,106.98521505376344
2015-08-01,41.82661290322581,64.67338709677419,3.8716397849462365,34.913978494623656,834.4086021505376,101.91733870967742
2015-09-01,51.010416666666664,63.56875,5.879861111111111,50.43194444444445,877.1527777777778,62.08263888888889
2015-10-01,78.85819892473118,93.78763440860214,7.493279569892473,64.25672043010752,1003.5618279569892,38.266801075268816
2015-11-01,126.19583333333334,129.1340277777778,15.591666666666667,69.60555555555555,2047.7777777777778,17.198611111111113
2015-12-01,161.36895161290323,164.5752688172043,23.141801075268816,96.21236559139786,3206.8548387096776,19.561827956989248
2016-01-01,70.11559139784946,79.88978494623656,22.526881720430108,60.651881720430104,1521.505376344086,34.696236559139784
2016-02-01,43.19683908045977,53.36997126436781,16.579741379310345,41.39870689655172,899.7126436781609,50.27873563218391
2016-03-01,93.6633064516129,131.50806451612902,21.627688172043012,68.13172043010752,1254.502688172043,49.714381720430104
2016-04-01,72.28263888888888,108.50486111111111,11.532638888888888,51.263194444444444,786.7361111111111,70.81805555555556
2016-05-01,54.19959677419355,84.53158602150538,10.17271505376344,44.932123655913976,674.0591397849462,96.59744623655914
2016-06-01,61.475,76.57638888888889,5.884722222222222,40.025,813.0555555555555,112.25069444444445
2016-07-01,71.08870967741936,76.12836021505376,3.8756720430107525,39.42674731182796,985.1088276101284,100.30309139784946
2016-08-01,49.2130376344086,59.39784946236559,3.5940860215053765,38.060483870967744,925.8454734651405,88.67674731182795
2016-09-01,59.46388888888889,73.37986111111111,4.4840277777777775,46.23888888888889,831.4583333333334,61.32361111111111
2016-10-01,86.43010752688173,107.96236559139786,5.954301075268817,52.11290322580645,1238.5752688172042,23.511424731182796
2016-11-01,104.80416666666666,145.14305555555555,12.82638888888889,65.64930555555556,1899.513888888889,15.8625
2016-12-01,144.8978494623656,165.84879032258064,19.576612903225808,81.63037634408602,2646.0349462365593,18.543682795698924
2017-01-01,123.67943548387096,143.99327956989248,21.80510752688172,65.99932795698925,2240.3225806451615,30.668010752688172
2017-02-01,75.94866071428571,92.72767857142857,19.279761904761905,49.629464285714285,1171.205357142857,42.99107142857143
